pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2
0.2,0.9,0.1204490877,0.0702287428,0.8093221695,0.0147733343,0.0232391383,0.0275080344,0.6688646838,0.0712314422,0.7139832542,0.0412620516,0.8271481607,0.0597588336
0.2,0.95,0.115736041,0.0353953262,0.8488686328,0.0144460232,0.0168909355,0.0221719663,0.7780779805,0.0526235243,0.7733029493,0.0332579494,0.9130594435,0.0481666855
0.25,0.05,0.1949851037,0.3478208948,0.4571940015,0.0178340773,0.0219261265,0.0230680053,-0.2384477881,0.0620066136,0.185883979,0.0343778595,0.0163913958,0.0525600122
0.25,0.1,0.1903510872,0.345447888,0.4642010247,0.0177151094,0.022794848,0.0240555911,-0.2266947513,0.0650076515,0.1963713072,0.0359090018,0.0323567652,0.0548102075
0.25,0.15,0.1853540865,0.3424985004,0.4721474131,0.0175917047,0.0234750573,0.024811827,-0.2128495876,0.0673380577,0.2082803174,0.037061476,0.0504624603,0.0565332766
0.25,0.2,0.1806672582,0.3388021245,0.4805306173,0.0174640533,0.0242996927,0.0255938999,-0.1970736316,0.0699857644,0.2208168458,0.0383327783,0.0695634319,0.058315215
0.25,0.25,0.1758456636,0.3327842289,0.4913701075,0.0174728618,0.0249375141,0.0265784167,-0.1741983504,0.0723872404,0.237067908,0.0398290199,0.0942610044,0.0605584177
0.25,0.3,0.1714094226,0.3279328418,0.5006577356,0.0171808814,0.0257770251,0.0273685333,-0.155207948,0.0751230632,0.2509955636,0.0410225305,0.1154226886,0.0623586835
0.25,0.35,0.1667763559,0.3206381405,0.5125855036,0.0170530091,0.0268265085,0.0285422272,-0.1286907773,0.0786151087,0.2688836541,0.0427945448,0.1425998817,0.0650329228
0.25,0.4,0.1623045239,0.3125171957,0.5251782804,0.0167516682,0.0280319201,0.0298167419,-0.099856111,0.0825869771,0.287767983,0.0447228839,0.1712922845,0.0679368803
0.25,0.45,0.1579859535,0.3008813797,0.5411326668,0.0166935656,0.028536699,0.0305435103,-0.0606300925,0.0844240897,0.3116990752,0.045814968,0.207644051,0.0695928082
0.25,0.5,0.1535894276,0.28974009,0.5566704824,0.0165404728,0.02995085,0.0321333457,-0.0228096976,0.0890662772,0.3350057236,0.0482000185,0.2430466687,0.0732152179
0.25,0.55,0.1493293177,0.2751934516,0.5754772307,0.0162269481,0.0313164803,0.0336845259,0.0250903274,0.0936036633,0.363215846,0.0505267888,0.2858974877,0.0767495526
0.25,0.6,0.1449997251,0.2589637591,0.5960365159,0.016136163,0.032419924,0.034948689,0.0781089978,0.0972100299,0.3940547738,0.0524230335,0.3327414286,0.0796299243
0.25,0.65,0.1404985504,0.2393337416,0.6201677081,0.0158662346,0.0331254195,0.0355784641,0.1415002249,0.099386956,0.4302515621,0.0533676962,0.3877238918,0.081064855
0.25,0.7,0.1364333417,0.2173313172,0.6462353412,0.0157236497,0.0327940984,0.0355400032,0.2115727068,0.0987295624,0.4693530117,0.0533100048,0.4471184989,0.0809772225
0.25,0.75,0.1321835041,0.1875459385,0.6802705574,0.0154569754,0.0329651885,0.035822655,0.3051786803,0.0994594067,0.520405836,0.0537339826,0.5246670927,0.0816212394
0.25,0.8,0.1280734066,0.1584684079,0.7134581855,0.0151891008,0.0315986498,0.0347876619,0.3965213697,0.0957077568,0.5701872782,0.0521814928,0.6002844732,0.079263027
0.25,0.85,0.1237385904,0.1228245689,0.7534368408,0.014904716,0.029175585,0.0325863837,0.5077877031,0.0885923511,0.6301552612,0.0488795756,0.6913750803,0.0742474566
0.25,0.9,0.119495801,0.0842134716,0.7962907273,0.0146516723,0.0250585053,0.0289012912,0.6278637841,0.0764466024,0.694436091,0.0433519369,0.7890168471,0.0658510433
