iter,f0,f1,f2
    193,    0.9409700000,    0.0000000000,    0.0590300000
    194,    0.9410800000,    0.0000000000,    0.0589200000
    195,    0.9414700000,    0.0000000000,    0.0585300000
    196,    0.9419500000,    0.0000000000,    0.0580500000
    197,    0.9425400000,    0.0000000000,    0.0574600000
    198,    0.9429500000,    0.0000000000,    0.0570500000
    199,    0.9429900000,    0.0000000000,    0.0570100000
    200,    0.9427300000,    0.0000000000,    0.0572700000
    201,    0.9426900000,    0.0000000000,    0.0573100000
    202,    0.9429900000,    0.0000000000,    0.0570100000
    203,    0.9432500000,    0.0000000000,    0.0567500000
    204,    0.9433300000,    0.0000000000,    0.0566700000
    205,    0.9434500000,    0.0000000000,    0.0565500000
    206,    0.9436700000,    0.0000000000,    0.0563300000
    207,    0.9439200000,    0.0000000000,    0.0560800000
    208,    0.9439200000,    0.0000000000,    0.0560800000
    209,    0.9439100000,    0.0000000000,    0.0560900000
    210,    0.9442900000,    0.0000000000,    0.0557100000
    211,    0.9441500000,    0.0000000000,    0.0558500000
    212,    0.9442300000,    0.0000000000,    0.0557700000
    213,    0.9445300000,    0.0000000000,    0.0554700000
    214,    0.9450600000,    0.0000000000,    0.0549400000
    215,    0.9449000000,    0.0000000000,    0.0551000000
    216,    0.9453000000,    0.0000000000,    0.0547000000
    217,    0.9462600000,    0.0000000000,    0.0537400000
    218,    0.9465500000,    0.0000000000,    0.0534500000
    219,    0.9470900000,    0.0000000000,    0.0529100000
    220,    0.9478100000,    0.0000000000,    0.0521900000
    221,    0.9480400000,    0.0000000000,    0.0519600000
    222,    0.9487100000,    0.0000000000,    0.0512900000
    223,    0.9488100000,    0.0000000000,    0.0511900000
    224,    0.9483400000,    0.0000000000,    0.0516600000
    225,    0.9479500000,    0.0000000000,    0.0520500000
    226,    0.9480700000,    0.0000000000,    0.0519300000
    227,    0.9477700000,    0.0000000000,    0.0522300000
    228,    0.9482000000,    0.0000000000,    0.0518000000
    229,    0.9481500000,    0.0000000000,    0.0518500000
    230,    0.9483400000,    0.0000000000,    0.0516600000
    231,    0.9481600000,    0.0000000000,    0.0518400000
    232,    0.9484800000,    0.0000000000,    0.0515200000
    233,    0.9485900000,    0.0000000000,    0.0514100000
    234,    0.9487200000,    0.0000000000,    0.0512800000
    235,    0.9486400000,    0.0000000000,    0.0513600000
    236,    0.9488200000,    0.0000000000,    0.0511800000
    237,    0.9489800000,    0.0000000000,    0.0510200000
    238,    0.9489000000,    0.0000000000,    0.0511000000
    239,    0.9488000000,    0.0000000000,    0.0512000000
    240,    0.9490600000,    0.0000000000,    0.0509400000
    241,    0.9489400000,    0.0000000000,    0.0510600000
    242,    0.9489400000,    0.0000000000,    0.0510600000
    243,    0.9486600000,    0.0000000000,    0.0513400000
    244,    0.9488100000,    0.0000000000,    0.0511900000
    245,    0.9484300000,    0.0000000000,    0.0515700000
    246,    0.9489300000,    0.0000000000,    0.0510700000
    247,    0.9493100000,    0.0000000000,    0.0506900000
    248,    0.9490400000,    0.0000000000,    0.0509600000
    249,    0.9490200000,    0.0000000000,    0.0509800000
    250,    0.9498400000,    0.0000000000,    0.0501600000
