loops,interac_r,coms,counts,probs
0,60.0,312,10,0.00020861583394179617
0,60.0,313,6,0.00012516950036507772
0,60.0,314,6,0.00012516950036507772
0,60.0,315,2,4.1723166788359233e-05
0,60.0,316,2,4.1723166788359233e-05
0,60.0,317,8,0.00016689266715343693
0,60.0,318,6,0.00012516950036507772
0,60.0,319,3,6.258475018253886e-05
0,60.0,320,5,0.00010430791697089809
0,60.0,321,7,0.00014603108375925734
0,60.0,322,9,0.00018775425054761655
0,60.0,323,4,8.344633357671847e-05
0,60.0,324,6,0.00012516950036507772
0,60.0,325,7,0.00014603108375925734
0,60.0,326,2,4.1723166788359233e-05
0,60.0,327,2,4.1723166788359233e-05
0,60.0,328,4,8.344633357671847e-05
0,60.0,329,8,0.00016689266715343693
0,60.0,330,4,8.344633357671847e-05
0,60.0,331,4,8.344633357671847e-05
0,60.0,332,6,0.00012516950036507772
0,60.0,333,8,0.00016689266715343693
0,60.0,334,2,4.1723166788359233e-05
0,60.0,335,4,8.344633357671847e-05
0,60.0,336,5,0.00010430791697089809
0,60.0,337,2,4.1723166788359233e-05
0,60.0,338,4,8.344633357671847e-05
0,60.0,339,1,2.0861583394179617e-05
0,60.0,340,2,4.1723166788359233e-05
0,60.0,341,5,0.00010430791697089809
0,60.0,342,4,8.344633357671847e-05
0,60.0,343,5,0.00010430791697089809
0,60.0,344,3,6.258475018253886e-05
0,60.0,345,2,4.1723166788359233e-05
0,60.0,346,4,8.344633357671847e-05
0,60.0,347,3,6.258475018253886e-05
0,60.0,348,5,0.00010430791697089809
0,60.0,349,4,8.344633357671847e-05
0,60.0,350,4,8.344633357671847e-05
0,60.0,351,6,0.00012516950036507772
0,60.0,352,4,8.344633357671847e-05
0,60.0,353,6,0.00012516950036507772
0,60.0,354,1,2.0861583394179617e-05
0,60.0,355,3,6.258475018253886e-05
0,60.0,356,4,8.344633357671847e-05
0,60.0,357,6,0.00012516950036507772
0,60.0,358,4,8.344633357671847e-05
0,60.0,359,1,2.0861583394179617e-05
0,60.0,360,2,4.1723166788359233e-05
0,60.0,361,6,0.00012516950036507772
0,60.0,362,3,6.258475018253886e-05
0,60.0,363,3,6.258475018253886e-05
0,60.0,364,1,2.0861583394179617e-05
0,60.0,365,1,2.0861583394179617e-05
0,60.0,366,3,6.258475018253886e-05
0,60.0,367,4,8.344633357671847e-05
0,60.0,368,2,4.1723166788359233e-05
0,60.0,371,2,4.1723166788359233e-05
0,60.0,372,1,2.0861583394179617e-05
0,60.0,373,1,2.0861583394179617e-05
0,60.0,374,1,2.0861583394179617e-05
0,60.0,375,2,4.1723166788359233e-05
0,60.0,377,2,4.1723166788359233e-05
0,60.0,381,1,2.0861583394179617e-05
0,60.0,382,1,2.0861583394179617e-05
0,60.0,385,2,4.1723166788359233e-05
0,60.0,395,1,2.0861583394179617e-05
0,60.0,408,2,4.1723166788359233e-05
0,60.0,409,1,2.0861583394179617e-05
400,45.0,1,884,0.42459173871277617
400,45.0,2,333,0.15994236311239193
400,45.0,3,196,0.0941402497598463
400,45.0,4,120,0.05763688760806916
400,45.0,5,106,0.05091258405379443
400,45.0,6,55,0.026416906820365033
400,45.0,7,55,0.026416906820365033
400,45.0,8,46,0.022094140249759846
400,45.0,9,37,0.01777137367915466
400,45.0,10,24,0.011527377521613832
400,45.0,11,23,0.011047070124879923
400,45.0,12,11,0.005283381364073006
400,45.0,13,11,0.005283381364073006
400,45.0,14,16,0.007684918347742555
400,45.0,15,9,0.004322766570605188
400,45.0,16,13,0.006243996157540826
400,45.0,17,13,0.006243996157540826
400,45.0,18,4,0.0019212295869356388
400,45.0,19,3,0.001440922190201729
400,45.0,20,6,0.002881844380403458
400,45.0,21,4,0.0019212295869356388
400,45.0,22,3,0.001440922190201729
400,45.0,23,7,0.0033621517771373678
400,45.0,24,3,0.001440922190201729
400,45.0,25,4,0.0019212295869356388
400,45.0,26,2,0.0009606147934678194
400,45.0,28,1,0.0004803073967339097
400,45.0,30,3,0.001440922190201729
400,45.0,31,3,0.001440922190201729
400,45.0,32,3,0.001440922190201729
400,45.0,33,1,0.0004803073967339097
400,45.0,34,6,0.002881844380403458
400,45.0,35,2,0.0009606147934678194
400,45.0,36,2,0.0009606147934678194
400,45.0,39,2,0.0009606147934678194
400,45.0,40,2,0.0009606147934678194
400,45.0,41,2,0.0009606147934678194
400,45.0,42,1,0.0004803073967339097
400,45.0,45,1,0.0004803073967339097
400,45.0,46,1,0.0004803073967339097
400,45.0,50,2,0.0009606147934678194
400,45.0,52,1,0.0004803073967339097
400,45.0,55,1,0.0004803073967339097
400,45.0,74,2,0.0009606147934678194
400,45.0,76,1,0.0004803073967339097
400,45.0,89,1,0.0004803073967339097
400,45.0,93,1,0.0004803073967339097
400,45.0,95,1,0.0004803073967339097
400,45.0,97,1,0.0004803073967339097
400,45.0,112,1,0.0004803073967339097
400,45.0,126,1,0.0004803073967339097
400,45.0,130,1,0.0004803073967339097
400,45.0,141,1,0.0004803073967339097
400,45.0,149,1,0.0004803073967339097
400,45.0,156,2,0.0009606147934678194
400,45.0,161,1,0.0004803073967339097
400,45.0,173,1,0.0004803073967339097
400,45.0,184,1,0.0004803073967339097
400,45.0,221,1,0.0004803073967339097
400,45.0,222,1,0.0004803073967339097
400,45.0,227,1,0.0004803073967339097
400,45.0,231,1,0.0004803073967339097
400,45.0,239,1,0.0004803073967339097
400,45.0,247,1,0.0004803073967339097
400,45.0,251,1,0.0004803073967339097
400,45.0,263,1,0.0004803073967339097
400,45.0,265,1,0.0004803073967339097
400,45.0,271,1,0.0004803073967339097
400,45.0,272,1,0.0004803073967339097
400,45.0,283,1,0.0004803073967339097
400,45.0,289,1,0.0004803073967339097
400,45.0,294,1,0.0004803073967339097
400,45.0,300,1,0.0004803073967339097
400,45.0,301,1,0.0004803073967339097
400,45.0,302,1,0.0004803073967339097
400,45.0,304,3,0.001440922190201729
400,45.0,306,1,0.0004803073967339097
400,45.0,308,1,0.0004803073967339097
400,45.0,309,1,0.0004803073967339097
400,45.0,310,1,0.0004803073967339097
400,45.0,316,1,0.0004803073967339097
400,45.0,322,1,0.0004803073967339097
400,45.0,325,1,0.0004803073967339097
400,45.0,326,1,0.0004803073967339097
400,45.0,330,1,0.0004803073967339097
400,45.0,333,1,0.0004803073967339097
400,45.0,337,1,0.0004803073967339097
400,45.0,347,1,0.0004803073967339097
400,45.0,349,1,0.0004803073967339097
400,45.0,356,1,0.0004803073967339097
400,45.0,362,1,0.0004803073967339097
400,45.0,366,1,0.0004803073967339097
400,45.0,368,1,0.0004803073967339097
400,45.0,371,1,0.0004803073967339097
400,45.0,379,2,0.0009606147934678194
400,45.0,380,2,0.0009606147934678194
400,45.0,411,1,0.0004803073967339097
800,40.0,1,369,0.48938992042440316
800,40.0,2,118,0.15649867374005305
800,40.0,3,65,0.08620689655172414
800,40.0,4,33,0.04376657824933687
800,40.0,5,31,0.04111405835543767
800,40.0,6,23,0.03050397877984085
800,40.0,7,18,0.023872679045092837
800,40.0,8,13,0.017241379310344827
800,40.0,9,13,0.017241379310344827
800,40.0,10,1,0.001326259946949602
800,40.0,11,5,0.006631299734748011
800,40.0,12,4,0.005305039787798408
800,40.0,13,6,0.007957559681697613
800,40.0,14,5,0.006631299734748011
800,40.0,15,2,0.002652519893899204
800,40.0,16,2,0.002652519893899204
800,40.0,17,1,0.001326259946949602
800,40.0,18,3,0.003978779840848806
800,40.0,19,1,0.001326259946949602
800,40.0,21,2,0.002652519893899204
800,40.0,22,2,0.002652519893899204
800,40.0,25,1,0.001326259946949602
800,40.0,26,2,0.002652519893899204
800,40.0,27,1,0.001326259946949602
800,40.0,30,2,0.002652519893899204
800,40.0,41,1,0.001326259946949602
800,40.0,45,1,0.001326259946949602
800,40.0,48,1,0.001326259946949602
800,40.0,49,1,0.001326259946949602
800,40.0,68,1,0.001326259946949602
800,40.0,84,1,0.001326259946949602
800,40.0,95,1,0.001326259946949602
800,40.0,115,1,0.001326259946949602
800,40.0,128,1,0.001326259946949602
800,40.0,139,1,0.001326259946949602
800,40.0,181,1,0.001326259946949602
800,40.0,391,1,0.001326259946949602
800,40.0,393,1,0.001326259946949602
800,40.0,400,1,0.001326259946949602
800,40.0,406,1,0.001326259946949602
800,40.0,410,1,0.001326259946949602
800,40.0,416,1,0.001326259946949602
800,40.0,420,1,0.001326259946949602
800,40.0,423,1,0.001326259946949602
800,40.0,424,1,0.001326259946949602
800,40.0,432,2,0.002652519893899204
800,40.0,434,1,0.001326259946949602
800,40.0,436,1,0.001326259946949602
800,40.0,437,1,0.001326259946949602
800,40.0,444,1,0.001326259946949602
800,40.0,447,1,0.001326259946949602
800,40.0,449,1,0.001326259946949602
800,40.0,456,1,0.001326259946949602
800,40.0,461,1,0.001326259946949602
800,40.0,469,1,0.001326259946949602
