pi1,pi2,f0,f1,f2,Q,Qs,niter
0.19,0.11,0.10927658,0.16268802,0.7280354,0.40265936,0.56534738,9.0
0.19,0.13,0.10896198,0.15869873,0.73233929,0.41494182999999996,0.57364056,9.0
0.19,0.15,0.10865207,0.15493481,0.73641312,0.4265435,0.58147831,9.0
0.19,0.17,0.10834655,0.15137521,0.74027825,0.43752783,0.58890304,9.0
0.19,0.19,0.10804512,0.14800167,0.74395321,0.44794987,0.5959515400000001,9.0
0.19,0.21,0.10774755,0.14479823,0.74745422,0.45785775999999995,0.6026559899999999,9.0
0.19,0.23,0.10745361,0.14175088,0.75079551,0.46729375,0.60904463,9.0
0.19,0.25,0.10716311,0.13884722,0.75398968,0.47629524,0.61514246,8.0
0.19,0.27,0.10687588,0.13607624,0.75704789,0.48489540999999997,0.62097165,8.0
0.19,0.29,0.10659175,0.13342812,0.75998013,0.49312388999999995,0.6265520099999999,8.0
0.19,0.31,0.1063106,0.13089406,0.76279534,0.50100722,0.63190128,8.0
0.19,0.33,0.10603228,0.12846615,0.76550156,0.50856926,0.63703541,8.0
0.19,0.35,0.10575669,0.12613724,0.76810606,0.51583158,0.64196882,8.0
0.19,0.37,0.10548372,0.12390086,0.77061542,0.5228137,0.64671456,8.0
0.19,0.39,0.10521327,0.12175112,0.77303561,0.52953337,0.65128449,8.0
0.19,0.41,0.10494525,0.11968266,0.77537209,0.53600677,0.65568943,8.0
0.19,0.43,0.10467957,0.11769059,0.77762983,0.54224865,0.6599392399999999,8.0
0.19,0.45,0.10441617,0.11577043,0.77981341,0.5482725500000001,0.6640429800000001,8.0
0.19,0.47,0.10415496,0.11391804,0.781927,0.55409092,0.6680089600000001,8.0
0.19,0.49,0.10389588,0.11212965,0.78397447,0.55971517,0.67184482,8.0
0.21,0.01,0.1109305,0.20663564,0.68243386,0.26916257999999993,0.47579821999999994,9.0
0.21,0.03,0.11057624,0.2003107,0.68911306,0.28849166000000004,0.48880236000000005,9.0
0.21,0.05,0.11023036,0.19446232,0.69530732,0.30638267999999996,0.500845,9.0
0.21,0.07,0.10989197,0.18902909,0.70107894,0.32302076,0.51204985,9.0
0.21,0.09,0.10956032,0.18396088,0.70647881,0.33855705,0.52251793,9.0
0.21,0.11,0.10923479,0.17921618,0.71154903,0.35311667,0.53233285,9.0
0.21,0.13,0.10891488,0.17476021,0.71632491,0.36680449,0.5415647,9.0
0.21,0.15,0.10860014,0.17056351,0.72083635,0.37970933,0.55027284,9.0
0.21,0.17,0.10829018,0.16660092,0.7251089,0.3919070599999999,0.5585079799999999,9.0
0.21,0.19,0.10798469,0.16285071,0.7291646,0.40346318000000003,0.56631389,9.0
0.21,0.21,0.10768337,0.15929404,0.73302259,0.41443451000000003,0.57372855,9.0
0.21,0.23,0.10738597,0.15591445,0.73669958,0.42487068,0.58078513,9.0
0.21,0.25,0.10709227,0.15269743,0.7402103,0.43481544,0.58751287,9.0
