pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.2,0.15,0.2022108473,0.3054733317,0.492315821,0.0182377624,0.0230690474,0.0250509238,-0.1186308423,0.0664115959,0.2384737316,0.0375763858,0.0880638657,0.0509585972,0.2087840754,0.0666820209,0.1253737716,0.04904521
0.2,0.2,0.1942535866,0.2986059185,0.5071404949,0.0179660659,0.0240365245,0.0261884701,-0.0900713422,0.0698460874,0.2607107423,0.0392827052,0.1190739417,0.0567305497,0.2635458064,0.0796998665,0.1333319004,0.056035391
0.2,0.25,0.1864741315,0.2908414396,0.5226844289,0.0178450999,0.0247635715,0.0271925773,-0.0589984504,0.0725315134,0.2840266433,0.040788866,0.1532334998,0.060367523,0.3218738672,0.0969253315,0.137169404,0.0636094941
0.2,0.3,0.1789698275,0.2807273882,0.5403027843,0.0176045045,0.0256483983,0.0282503129,-0.021151992,0.0756402365,0.3104541765,0.0423754693,0.1925689598,0.063259461,0.3798822794,0.1233162367,0.1373307165,0.0717462535
0.2,0.35,0.1718947963,0.2694234541,0.5586817496,0.0173967723,0.026480493,0.0292208391,0.0198348413,0.0785084453,0.3380226243,0.0438312586,0.233780763,0.0655785304,0.4352147606,0.1557325383,0.1363623884,0.0784624208
0.2,0.4,0.1649468433,0.2574311122,0.5776220445,0.0170506687,0.0271072213,0.0299790008,0.06275982,0.0807686792,0.3664330667,0.0449685012,0.2762952099,0.0672964136,0.4897149284,0.1919551855,0.1339272978,0.0828601965
0.2,0.45,0.1580708123,0.2421032142,0.5998259735,0.0167735848,0.0275404278,0.0306171993,0.1156195451,0.0824644371,0.3997389603,0.045925799,0.3261399405,0.0687324883,0.5437309887,0.2393409305,0.1317856165,0.0858988179
0.2,0.5,0.1516486778,0.22588008,0.6224712422,0.0165445523,0.0283864015,0.031600005,0.1707110822,0.0853402792,0.4337068633,0.0474000075,0.376976258,0.0709387867,0.594189017,0.2901569779,0.1299926499,0.0890001644
0.2,0.55,0.1454310922,0.2078170557,0.646751852,0.0162055185,0.0283873641,0.0316786719,0.2311177406,0.0855595217,0.4701277781,0.0475180078,0.4314837495,0.0711153859,0.6430414182,0.3468625387,0.1273290736,0.0892102114
0.2,0.6,0.1392994451,0.1877935316,0.6729070232,0.0158554026,0.0279846889,0.0314167269,0.29731996,0.0845996542,0.5093605349,0.0471250904,0.4901994399,0.0705273462,0.6912186453,0.4097924319,0.1245781633,0.0879487385
0.2,0.65,0.1337123119,0.1669867833,0.6993009048,0.0156287169,0.0272419791,0.0308533736,0.3653273382,0.0825834786,0.5489513572,0.0462800604,0.5494510107,0.0692626754,0.7351175492,0.4751843953,0.122797061,0.0856176485
0.2,0.7,0.1280732317,0.1439928418,0.7279339265,0.0152633448,0.0263789762,0.0301342668,0.4399482429,0.0802083851,0.5919008898,0.0452014002,0.6137292228,0.067648354,0.7794246081,0.5474510687,0.1199262803,0.0829053538
0.2,0.75,0.1227166508,0.1207656186,0.7565177306,0.0149912334,0.0251087317,0.0290881247,0.5149864934,0.076626192,0.6347765959,0.043632187,0.6778969462,0.0652998718,0.8215120291,0.620450913,0.1177882624,0.0789131569
0.2,0.8,0.1177663184,0.096832092,0.7854015896,0.0146598476,0.0232866005,0.0274142943,0.5917374056,0.071262914,0.6781023844,0.0411214414,0.7427382624,0.0615422932,0.8604074981,0.6956705681,0.1151845168,0.0731864588
0.2,0.85,0.1129467233,0.0722206748,0.8148326018,0.0143140347,0.0201536698,0.0246234198,0.6703912522,0.0620175594,0.7222489028,0.0369351297,0.8088078817,0.0552770649,0.8982757453,0.7730207362,0.1124674151,0.0633401052
0.2,0.9,0.1085018845,0.0477790852,0.8437190302,0.0140249041,0.0168755459,0.0219170068,0.7481608598,0.0525011808,0.7655785454,0.0328755102,0.8736549659,0.0492014439,0.9331994787,0.8498371607,0.1101956749,0.0530374299
0.2,0.95,0.1042122369,0.0240426093,0.8717451537,0.0137755219,0.0122921491,0.0184348815,0.823659935,0.0393266594,0.8076177306,0.0276523222,0.9365707532,0.0413844279,0.9669038526,0.9244375135,0.1082362433,0.0386324686
0.25,0.05,0.1854394801,0.3295264084,0.4850341115,0.0174993698,0.0217254366,0.023128283,-0.1740187053,0.0618406349,0.2275526368,0.0346873542,0.0466034222,0.0352376881,0.1612279351,0.0528365409,0.1204723568,0.03983322
0.25,0.1,0.180376026,0.3247345864,0.4948893877,0.0173222376,0.0223558959,0.0239379647,-0.1545797851,0.0641691135,0.2423343364,0.035906001,0.0581830688,0.0418533933,0.1791694813,0.0575809548,0.1304447426,0.0429878405
0.25,0.15,0.1753485029,0.31935996,0.5052915371,0.0172024215,0.02306432,0.0248018542,-0.1334283829,0.0666732813,0.2579376806,0.0372014297,0.0754645653,0.0494446576,0.2080354543,0.0651773257,0.1443174652,0.047925759
0.25,0.2,0.170412147,0.3131704974,0.5164173557,0.0171092072,0.023669506,0.0255074074,-0.1099236391,0.0687597748,0.2746262134,0.0382604121,0.0979451564,0.0551217518,0.245354193,0.0764376006,0.1572847989,0.053463655
0.25,0.25,0.1655837941,0.305615926,0.5288002799,0.0168589992,0.0245749459,0.0265871088,-0.0824315721,0.0719426102,0.2932004199,0.0398806632,0.125269741,0.0604369123,0.2876337916,0.0930423094,0.1663809029,0.0607681856
0.25,0.3,0.160739965,0.2971867133,0.5420733217,0.0167369264,0.0252566709,0.027308446,-0.052300105,0.0741916492,0.3131099825,0.0409626691,0.1558401164,0.0634958967,0.3350217551,0.114091947,0.1732061466,0.066957641
0.25,0.35,0.1560781005,0.2869083729,0.5570135266,0.0165420703,0.0261624489,0.028465,-0.0168032192,0.077397228,0.3355202899,0.0426974999,0.190812917,0.0668604649,0.3832467462,0.1419954211,0.1763348479,0.0734510486
0.25,0.4,0.1513077631,0.275508103,0.573184134,0.0163325852,0.0266853156,0.0291172036,0.022167928,0.0792626291,0.3597762009,0.0436758053,0.2288729424,0.0686651851,0.434195488,0.1744833992,0.177414053,0.0778351685
