arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20,1,0.4,0.2,7,10,0.7,0.4099246617,0.3456111686,0.2444641697,0.0829359338,0.0801799132,0.0725090169,-0.4467581676,0.2014667349,0.1667301032,0.0881362254,3.2805552353,0.2906986213,0.1920393637,1.1434619839,0.1542302591,0.1134013794
20,1,0.4,0.2,7,10,0.75,0.454727461,0.3179870747,0.2272854643,0.0842488911,0.0785765315,0.0709239501,-0.408688685,0.1947832042,0.2052535438,0.1025229209,3.8986841045,0.3439436263,0.2182093163,1.1632132473,0.1571294391,0.1163236959
20,1,0.4,0.2,7,10,0.8,0.5105005177,0.285761274,0.2037382083,0.0844147046,0.076254951,0.0683058455,-0.3677843396,0.1861028916,0.2722998536,0.1170070496,4.6688217061,0.4087957908,0.2567431079,1.1657067158,0.1560580685,0.1174983436
20,1,0.4,0.2,7,10,0.85,0.5804290356,0.2440488449,0.1755221195,0.0833896942,0.0722267674,0.0642680131,-0.3125755704,0.172579506,0.3715000536,0.1232456505,5.6344962059,0.4945747543,0.3055913395,1.1515719673,0.1492667656,0.1140856328
20,1,0.4,0.2,7,10,0.9,0.6758471811,0.1898446817,0.1343081373,0.0787383205,0.0660912224,0.0575969949,-0.2453812261,0.1541463372,0.5137902667,0.1180448782,6.9521753575,0.606755301,0.3792303033,1.0873387119,0.1368810902,0.1036225921
20,1,0.4,0.2,7,10,0.95,0.8061883101,0.1132872496,0.0805244403,0.0667017677,0.0537004565,0.0459727491,-0.1460500589,0.1214276061,0.7092824651,0.1000526516,8.7521242819,0.7653335544,0.4760739895,0.9211196498,0.1112366599,0.0828080574
20,2,0.3,0.3,7,8,0.0,0.1820394901,0.382781876,0.4351786339,0.0651862918,0.0822565619,0.0840002825,-0.330385118,0.2307953401,0.2107432428,0.0893706166,0.9232043989,0.1731432108,0.1533091782,0.6811441154,0.1282167845,0.1147914771
20,2,0.3,0.3,7,8,0.05,0.1894140751,0.3784126825,0.4321732424,0.0663510867,0.082754764,0.0843909656,-0.3246521227,0.2316261592,0.2056985039,0.090537991,0.9416439033,0.1740678096,0.1544024653,0.7034822331,0.129443421,0.1151805538
20,2,0.3,0.3,7,8,0.1,0.1982170172,0.3743638376,0.4274191452,0.0673381115,0.0818953989,0.0838085867,-0.32130853,0.2285693183,0.1981341807,0.0896558962,0.9712872353,0.1730146375,0.154142841,0.7378920347,0.1282660293,0.1147261835
20,2,0.3,0.3,7,8,0.15,0.2070925126,0.3711827757,0.4217247117,0.0686042846,0.0819790058,0.0835011932,-0.3206408398,0.2276567513,0.1909207698,0.089070846,1.0216755526,0.1741029028,0.154988492,0.7822732769,0.1286977908,0.1154615228
20,2,0.3,0.3,7,8,0.2,0.2172228371,0.3649384797,0.4178386832,0.0695404224,0.0814790088,0.0834014365,-0.3120382761,0.2258951779,0.1836870068,0.089061404,1.0910602635,0.1754072366,0.1562397853,0.8341628407,0.129325815,0.1162979602
20,2,0.3,0.3,7,8,0.25,0.2289497626,0.3606835434,0.410366694,0.0710666425,0.081236819,0.0833541526,-0.3110003928,0.2243642873,0.1745448638,0.08795965,1.1955577963,0.1771946129,0.1600149185,0.9072876731,0.130131156,0.118403349
20,2,0.3,0.3,7,8,0.3,0.2413470918,0.3543391295,0.4043137787,0.0721064756,0.0803051604,0.0823506777,-0.3043644803,0.2205441621,0.1651644946,0.0866416284,1.3235763059,0.1794369095,0.1624247676,0.9779510568,0.1312162552,0.1191814753
20,2,0.3,0.3,7,8,0.35,0.2551437855,0.347790481,0.3970657336,0.0736445261,0.0805546661,0.0825882155,-0.2985152283,0.2203400394,0.156863427,0.0850478038,1.4907708502,0.1853133995,0.1681705702,1.0597452288,0.134582446,0.1232724217
20,2,0.3,0.3,7,8,0.4,0.2700096404,0.3410600207,0.3889303388,0.0752432879,0.0801943973,0.0818464348,-0.2931897026,0.2176241256,0.1476677259,0.0825779889,1.6935441568,0.1909116258,0.1744682704,1.1379197437,0.1380638685,0.1267737436
20,2,0.3,0.3,7,8,0.45,0.2872317635,0.3328377906,0.379930446,0.0765765329,0.0798219364,0.0819606442,-0.2857451351,0.2159952778,0.1397666298,0.0800375546,1.9464155675,0.1997477841,0.184657729,1.2124143943,0.1423450275,0.1317878329
20,2,0.3,0.3,7,8,0.5,0.307918449,0.3219817903,0.3700997608,0.0779032102,0.0788045568,0.0814218851,-0.2738638198,0.212159607,0.1328807798,0.0763986079,2.2687306459,0.2129867533,0.195670875,1.2877680485,0.1476281034,0.1378080881
20,2,0.3,0.3,7,8,0.55,0.3308601421,0.3126761167,0.3564637412,0.0793156313,0.0781877555,0.0805988704,-0.2688884922,0.2087739104,0.1284341772,0.0741152008,2.6479199629,0.225942766,0.2148228006,1.3483568291,0.1538698889,0.1442056651
20,2,0.3,0.3,7,8,0.6,0.3569671868,0.2996179527,0.3434148606,0.0810707017,0.0777517886,0.0802654821,-0.2558210447,0.2060455515,0.1314482094,0.0755333743,3.0940143821,0.2481183106,0.2358982423,1.4019704704,0.1620276943,0.1507983827
20,2,0.3,0.3,7,8,0.65,0.3876523726,0.2846035634,0.327744064,0.0823280858,0.0766342748,0.0793512234,-0.2414630628,0.2014221809,0.1435671082,0.0822198998,3.6264718963,0.2768901992,0.2633397017,1.4394621412,0.1686474218,0.1571599693
