"bot_type","pi1","pi2","N","lambda","parameter","stat.value","sv.sd"
"kilombo",0.3,0.3,24,0.9,"f2",0.778813657407407,0.129362309743296
"kilombo",0.3,0.3,24,0.9,"Q",0.574527391975309,0.34245756059168
"kilombo",0.3,0.3,25,0.3,"f0",0.150134863123994,0.0726469705796343
"kilombo",0.3,0.3,25,0.3,"f1",0.317685185185185,0.110069887470415
"kilombo",0.3,0.3,25,0.3,"f2",0.532179951690821,0.117146375691549
"kilombo",0.3,0.3,25,0.3,"Q",-0.103190418679549,0.321413963776778
"kilombo",0.3,0.3,25,0.6,"f0",0.135815085158151,0.0683634313683067
"kilombo",0.3,0.3,25,0.6,"f1",0.251699107866991,0.125000622678897
"kilombo",0.3,0.3,25,0.6,"f2",0.612485806974858,0.136386406542553
"kilombo",0.3,0.3,25,0.6,"Q",0.109087591240876,0.374443015948415
"kilombo",0.3,0.3,25,0.9,"f0",0.116936334144363,0.0639912233693547
"kilombo",0.3,0.3,25,0.9,"f1",0.0954866180048662,0.109002799988768
"kilombo",0.3,0.3,25,0.9,"f2",0.787577047850771,0.126375031142779
"kilombo",0.3,0.3,25,0.9,"Q",0.596603811841038,0.33318441527891
"kilombo",0.3,0.3,26,0.3,"f0",0.149102331846897,0.0690480774405049
"kilombo",0.3,0.3,26,0.3,"f1",0.317601882819274,0.106792730353736
"kilombo",0.3,0.3,26,0.3,"f2",0.533295785333829,0.114222434877973
"kilombo",0.3,0.3,26,0.3,"Q",-0.101907980304719,0.313102448777286
"kilombo",0.3,0.3,26,0.6,"f0",0.134075473137973,0.0647284347947036
"kilombo",0.3,0.3,26,0.6,"f1",0.242364926739927,0.119765497297324
"kilombo",0.3,0.3,26,0.6,"f2",0.6235596001221,0.12976659242946
"kilombo",0.3,0.3,26,0.6,"Q",0.138829746642247,0.358051966965087
"kilombo",0.3,0.3,26,0.9,"f0",0.115436126373626,0.0622073191828654
"kilombo",0.3,0.3,26,0.9,"f1",0.0882345085470086,0.0981327976990175
"kilombo",0.3,0.3,26,0.9,"f2",0.796329365079365,0.11581670459991
"kilombo",0.3,0.3,26,0.9,"Q",0.619860347985348,0.300468470856308
"kilombo",0.3,0.3,27,0.3,"f0",0.148978542034098,0.0692896402342889
"kilombo",0.3,0.3,27,0.3,"f1",0.325404174015285,0.108280921410946
"kilombo",0.3,0.3,27,0.3,"f2",0.525617283950617,0.114339528298946
"kilombo",0.3,0.3,27,0.3,"Q",-0.125191064079953,0.316175619485285
"kilombo",0.3,0.3,27,0.6,"f0",0.133974100912507,0.0656159278572108
"kilombo",0.3,0.3,27,0.6,"f1",0.247109277151548,0.119024588006278
"kilombo",0.3,0.3,27,0.6,"f2",0.618916621935946,0.129539502380212
"kilombo",0.3,0.3,27,0.6,"Q",0.12469806763285,0.35599390915295
"kilombo",0.3,0.3,27,0.9,"f0",0.114429012345679,0.0615379409587618
"kilombo",0.3,0.3,27,0.9,"f1",0.0951572604350382,0.102320738371201
"kilombo",0.3,0.3,27,0.9,"f2",0.790413727219283,0.118686985710564
"kilombo",0.3,0.3,27,0.9,"Q",0.600099206349206,0.312254970146604
"kilombo",0.3,0.3,28,0.3,"f0",0.148455215419501,0.0670734227968419
"kilombo",0.3,0.3,28,0.3,"f1",0.319308035714286,0.10573009564747
"kilombo",0.3,0.3,28,0.3,"f2",0.532236748866213,0.112936207855463
"kilombo",0.3,0.3,28,0.3,"Q",-0.106379322562358,0.310385553460029
"kilombo",0.3,0.3,28,0.6,"f0",0.132171201814059,0.062963084064785
"kilombo",0.3,0.3,28,0.6,"f1",0.250356079931973,0.118609425645863
"kilombo",0.3,0.3,28,0.6,"f2",0.617472718253968,0.129258516573323
"kilombo",0.3,0.3,28,0.6,"Q",0.116760558390023,0.355814231759438
"kilombo",0.3,0.3,28,0.9,"f0",0.112825655624569,0.0587158166290005
"kilombo",0.3,0.3,28,0.9,"f1",0.0880905653324132,0.0970781258950043
"kilombo",0.3,0.3,28,0.9,"f2",0.799083779043018,0.113162835211607
"kilombo",0.3,0.3,28,0.9,"Q",0.622902648378192,0.29676145763607
"kilombo",0.3,0.3,29,0.3,"f0",0.148777529700378,0.0660489185125295
"kilombo",0.3,0.3,29,0.3,"f1",0.31873811295791,0.102021432278728
"kilombo",0.3,0.3,29,0.3,"f2",0.532484357341713,0.108385783032294
"kilombo",0.3,0.3,29,0.3,"Q",-0.104991868574106,0.298274622592066
"kilombo",0.3,0.3,29,0.6,"f0",0.132549133107307,0.062931016493409
"kilombo",0.3,0.3,29,0.6,"f1",0.246806003473084,0.117773965934407
"kilombo",0.3,0.3,29,0.6,"f2",0.620644863419609,0.128080362346448
"kilombo",0.3,0.3,29,0.6,"Q",0.127032856473442,0.35287016634184
"kilombo",0.3,0.3,29,0.9,"f0",0.111938970990695,0.057533062652375
"kilombo",0.3,0.3,29,0.9,"f1",0.0915469348659004,0.0981434449843593
"kilombo",0.3,0.3,29,0.9,"f2",0.796514094143404,0.114385911030832
"kilombo",0.3,0.3,29,0.9,"Q",0.613420224411604,0.300707695430502
"kilombo",0.3,0.3,30,0.3,"f0",0.14820014761138,0.0645600355143092
"kilombo",0.3,0.3,30,0.3,"f1",0.320184178743961,0.100600891295857
"kilombo",0.3,0.3,30,0.3,"f2",0.531615673644659,0.10741581029942
"kilombo",0.3,0.3,30,0.3,"Q",-0.108752683843264,0.294960520261187
"kilombo",0.3,0.3,30,0.6,"f0",0.131756575415996,0.0610052905109402
"kilombo",0.3,0.3,30,0.6,"f1",0.246240942028985,0.114139732891291
"kilombo",0.3,0.3,30,0.6,"f2",0.622002482555019,0.124253158527569
"kilombo",0.3,0.3,30,0.6,"Q",0.129520598497048,0.342111857465586
"kilombo",0.3,0.3,30,0.9,"f0",0.111267652544631,0.0575182237858286
"kilombo",0.3,0.3,30,0.9,"f1",0.0880861977084999,0.0913091529345249
"kilombo",0.3,0.3,30,0.9,"f2",0.800646149746869,0.107290642780762
"kilombo",0.3,0.3,30,0.9,"Q",0.624473754329869,0.27917973136977
"kilombo",0.3,0.3,31,0.3,"f0",0.148121479774706,0.0641672393987127
"kilombo",0.3,0.3,31,0.3,"f1",0.317290706605223,0.101533670412346
"kilombo",0.3,0.3,31,0.3,"f2",0.534587813620072,0.108477973300945
"kilombo",0.3,0.3,31,0.3,"Q",-0.0999935995903738,0.29819802181563
"kilombo",0.3,0.3,31,0.6,"f0",0.130958136716433,0.0601029223205313
"kilombo",0.3,0.3,31,0.6,"f1",0.23776785023594,0.111623225856866
"kilombo",0.3,0.3,31,0.6,"f2",0.631274013047626,0.121336450552567
"kilombo",0.3,0.3,31,0.6,"Q",0.155738312575746,0.334217515189297
"kilombo",0.3,0.3,31,0.9,"f0",0.111370327700973,0.0559895731112901
"kilombo",0.3,0.3,31,0.9,"f1",0.0922411034306196,0.096622561657065
"kilombo",0.3,0.3,31,0.9,"f2",0.796388568868408,0.111276087357096
"kilombo",0.3,0.3,31,0.9,"Q",0.611906362007168,0.294776109590284
"kilombo",0.3,0.3,32,0.3,"f0",0.148539806547619,0.0620303863286297
"kilombo",0.3,0.3,32,0.3,"f1",0.318373325892857,0.098940928732834
"kilombo",0.3,0.3,32,0.3,"f2",0.533086867559524,0.105291245925808
"kilombo",0.3,0.3,32,0.3,"Q",-0.10365978422619,0.290342979975
"kilombo",0.3,0.3,32,0.6,"f0",0.130550247302158,0.0586887556205324
"kilombo",0.3,0.3,32,0.6,"f1",0.24021563998801,0.108828744421503
"kilombo",0.3,0.3,32,0.6,"f2",0.629234112709832,0.118307885168835
"kilombo",0.3,0.3,32,0.6,"Q",0.148802832733813,0.325827716256549
"kilombo",0.3,0.3,32,0.9,"f0",0.110773189484127,0.0545450104890472
"kilombo",0.3,0.3,32,0.9,"f1",0.0926416790674603,0.0943584440060296
"kilombo",0.3,0.3,32,0.9,"f2",0.796585131448413,0.108509794146191
"kilombo",0.3,0.3,32,0.9,"Q",0.611301773313492,0.287739301573281
"kilombo",0.3,0.3,33,0.3,"f0",0.148585676913015,0.0625535658000914
"kilombo",0.3,0.3,33,0.3,"f1",0.319286994646707,0.0981439399842416
"kilombo",0.3,0.3,33,0.3,"f2",0.532127328440278,0.104364256155409
"kilombo",0.3,0.3,33,0.3,"Q",-0.106446660853136,0.287477293770804
"kilombo",0.3,0.3,33,0.6,"f0",0.131496512746513,0.0585539974094023
"kilombo",0.3,0.3,33,0.6,"f1",0.246318843193843,0.112041817015597
"kilombo",0.3,0.3,33,0.6,"f2",0.622184644059644,0.121757913986452
