N,arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
30,20,7,0.3,0.3,7,8,0.7,0.1604080647,0.3414149796,0.4981769558,0.0721705631,0.1415747303,0.1469515955,-0.1846530034,0.4178846246
30,20,7,0.3,0.3,7,8,0.75,0.1611245522,0.3317930517,0.5070823961,0.0726811605,0.1496907649,0.1558623804,-0.1565037074,0.4435742253
30,20,7,0.3,0.3,7,8,0.8,0.1620473215,0.3173045072,0.5206481713,0.0733765347,0.1595403094,0.1660512232,-0.1139608431,0.4739930976
30,20,7,0.3,0.3,7,8,0.85,0.163888028,0.2959178539,0.5401941181,0.0737543639,0.167900734,0.1752992263,-0.0516415896,0.5004537768
30,20,7,0.3,0.3,7,8,0.9,0.1690315754,0.2732765142,0.5576919104,0.0758021356,0.1806970993,0.1880513036,0.0111388819,0.5389866427
30,20,7,0.3,0.3,7,8,0.95,0.173341498,0.2190610681,0.607597434,0.0769858819,0.1966243531,0.2078925571,0.1694752978,0.5914145004
30,20,7,0.3,0.3,7,10,0.0,0.1641114721,0.3435411147,0.4923474131,0.0675874709,0.0867523569,0.0913949702,-0.1947348163,0.2471412913
30,20,7,0.3,0.3,7,10,0.05,0.1610112472,0.3408769474,0.4981118054,0.0675714855,0.0890610404,0.0940628022,-0.1836420895,0.2549565345
30,20,7,0.3,0.3,7,10,0.1,0.1589984171,0.3352426893,0.5057588936,0.0675969413,0.0916530477,0.0969459156,-0.164726485,0.2635498543
30,20,7,0.3,0.3,7,10,0.15,0.1564622178,0.3332001999,0.5103375823,0.0673381898,0.0938320488,0.0994915113,-0.1560628176,0.2710231339
30,20,7,0.3,0.3,7,10,0.2,0.1540043323,0.3259855036,0.5200101641,0.0673639094,0.0959852613,0.1025957579,-0.1319608431,0.2788922702
30,20,7,0.3,0.3,7,10,0.25,0.1516725819,0.3226381738,0.5256892444,0.067228195,0.0987838598,0.1055018355,-0.1195871032,0.2879273472
30,20,7,0.3,0.3,7,10,0.3,0.149765392,0.3150050821,0.535229526,0.0672579209,0.101613778,0.1086831557,-0.0947806382,0.2972221197
30,20,7,0.3,0.3,7,10,0.35,0.1482062818,0.3105037074,0.5412900108,0.0672902279,0.104083634,0.1114154632,-0.079717404,0.3052616647
30,20,7,0.3,0.3,7,10,0.4,0.1458303757,0.3014618012,0.552707823,0.0670677049,0.106811435,0.115060337,-0.0502157794,0.314916791
30,20,7,0.3,0.3,7,10,0.45,0.1446688328,0.2931248854,0.5622062818,0.0670882852,0.1081665967,0.1170898052,-0.0240434891,0.3198882107
30,20,7,0.3,0.3,7,10,0.5,0.1418620345,0.2844022328,0.5737357327,0.0670178517,0.1114130506,0.1205087443,0.0049312672,0.330244598
30,20,7,0.3,0.3,7,10,0.55,0.141508123,0.2750808964,0.5834109806,0.066929794,0.1149749751,0.1248337152,0.0332491877,0.3422084804
30,20,7,0.3,0.3,7,10,0.6,0.1401294676,0.2625578605,0.5973126718,0.0672101145,0.1173656103,0.1277086927,0.0721969508,0.3500603527
30,20,7,0.3,0.3,7,10,0.65,0.1392431892,0.2480433225,0.6127134883,0.0672634984,0.1204785828,0.1316446176,0.1166268433,0.3606004618
30,20,7,0.3,0.3,7,10,0.7,0.1383685745,0.2351595434,0.626471882,0.06725072,0.1228231044,0.134374684,0.1561527951,0.3682898833
30,20,7,0.3,0.3,7,10,0.75,0.1356985754,0.2159076897,0.6483937349,0.0670249376,0.1249527509,0.1374778661,0.2165783554,0.3760251936
30,20,7,0.3,0.3,7,10,0.8,0.1372146963,0.1966854953,0.6660998084,0.0675922429,0.1250871681,0.1384552776,0.2727288178,0.3771643763
30,20,7,0.3,0.3,7,10,0.85,0.1373218362,0.1684237274,0.6942544364,0.068040694,0.1244462455,0.1397251251,0.3574069816,0.3771358745
30,20,7,0.3,0.3,7,10,0.9,0.1389014413,0.1371483796,0.7239501791,0.0690618196,0.1221052957,0.1389945606,0.44965342,0.3713187488
30,20,7,0.3,0.3,7,10,0.95,0.141761393,0.0871583771,0.7710802299,0.0699026356,0.1086943374,0.1284734314,0.5967634758,0.3326112817
35,20,2,0.3,0.3,7,8,0.0,0.1820394901,0.382781876,0.4351786339,0.0651862918,0.0822565619,0.0840002825,-0.330385118,0.2307953401
35,20,2,0.3,0.3,7,8,0.05,0.1894140751,0.3784126825,0.4321732424,0.0663510867,0.082754764,0.0843909656,-0.3246521227,0.2316261592
35,20,2,0.3,0.3,7,8,0.1,0.1982170172,0.3743638376,0.4274191452,0.0673381115,0.0818953989,0.0838085867,-0.32130853,0.2285693183
35,20,2,0.3,0.3,7,8,0.15,0.2070925126,0.3711827757,0.4217247117,0.0686042846,0.0819790058,0.0835011932,-0.3206408398,0.2276567513
35,20,2,0.3,0.3,7,8,0.2,0.2172228371,0.3649384797,0.4178386832,0.0695404224,0.0814790088,0.0834014365,-0.3120382761,0.2258951779
35,20,2,0.3,0.3,7,8,0.25,0.2289497626,0.3606835434,0.410366694,0.0710666425,0.081236819,0.0833541526,-0.3110003928,0.2243642873
