arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
20,4,0.3,0.3,7,8,0.2,0.1820133538,0.3769890385,0.4409976077,0.0667246314,0.0890447801,0.0913631874,-0.3129804692,0.2524107374
20,4,0.3,0.3,7,8,0.25,0.1830560931,0.3729557611,0.4439881458,0.0668292173,0.0915258935,0.0939338582,-0.3019233763,0.2603850144
20,4,0.3,0.3,7,8,0.3,0.182757025,0.3705746421,0.4466683329,0.0673819224,0.0940955658,0.0968930383,-0.2944809512,0.2687154418
20,4,0.3,0.3,7,8,0.35,0.1862361552,0.3684333202,0.4453305245,0.0679853724,0.0950835008,0.0978693138,-0.291536116,0.2715445061
20,4,0.3,0.3,7,8,0.4,0.1855691791,0.3677409219,0.446689899,0.0682521739,0.0980276282,0.1010260708,-0.2887919449,0.2809956901
20,4,0.3,0.3,7,8,0.45,0.1918263291,0.3624368194,0.4457368515,0.0694901537,0.0992744857,0.1024726367,-0.2791367872,0.2845640559
20,4,0.3,0.3,7,8,0.5,0.1955986718,0.3583652658,0.4460360624,0.0705296888,0.1015338061,0.1044759023,-0.2706944692,0.2909492244
20,4,0.3,0.3,7,8,0.55,0.1981621737,0.3551036527,0.4467341736,0.0711184837,0.1055448283,0.1088556263,-0.2634731317,0.3037617971
20,4,0.3,0.3,7,8,0.6,0.2018129753,0.3503949727,0.447792052,0.0723873246,0.1069229677,0.111126221,-0.2529978934,0.3084840152
20,4,0.3,0.3,7,8,0.65,0.2116299497,0.3432250509,0.4451449995,0.0737559922,0.1093629841,0.1142969213,-0.2413051023,0.3163432308
20,4,0.3,0.3,7,8,0.7,0.2190523798,0.3358207591,0.4451268611,0.0767380318,0.1141076173,0.1195922327,-0.226514657,0.3305340304
20,4,0.3,0.3,7,8,0.75,0.2302484379,0.3282228014,0.4415287607,0.0779176159,0.1164941533,0.1226658052,-0.2149168422,0.3382657477
20,4,0.3,0.3,7,8,0.8,0.2461718856,0.3130932981,0.4407348163,0.0815239243,0.1198494425,0.1263748309,-0.1854517799,0.3475670098
20,4,0.3,0.3,7,8,0.85,0.2658656764,0.2959937159,0.4381406077,0.0831669389,0.1254820706,0.1314388626,-0.153846824,0.3639636584
20,4,0.3,0.3,7,8,0.9,0.2983862606,0.2834922698,0.4181214696,0.0888477905,0.1319452841,0.1399028245,-0.1488630699,0.3839113038
20,4,0.3,0.3,7,8,0.95,0.3323837612,0.2413777984,0.4262384404,0.1000319116,0.1381454024,0.1537343796,-0.0565171564,0.4066877487
20,4,0.3,0.3,7,10,0.0,0.1636549434,0.3433184561,0.4930266005,0.0624523077,0.0802750158,0.0845924031,-0.1936103117,0.2287608171
20,4,0.3,0.3,7,10,0.05,0.1631492127,0.3409311958,0.4959195915,0.0627239699,0.0816443187,0.0860890937,-0.1859428,0.2331526796
20,4,0.3,0.3,7,10,0.1,0.162603492,0.3369951798,0.5004013282,0.0628989734,0.0836120014,0.0889010674,-0.1735890313,0.2402986439
20,4,0.3,0.3,7,10,0.15,0.1625987789,0.3314609919,0.5059402292,0.0632782804,0.0848700607,0.0899741765,-0.1569817546,0.243916664
20,4,0.3,0.3,7,10,0.2,0.162645053,0.3279163066,0.5094386403,0.06330838,0.0867818763,0.0924889084,-0.1463939729,0.2506656278
20,4,0.3,0.3,7,10,0.25,0.1636780805,0.3245728568,0.5117490627,0.0638931538,0.0889057328,0.0947813357,-0.1373966508,0.2573153912
20,4,0.3,0.3,7,10,0.3,0.1646121327,0.3189229835,0.5164648838,0.0643212952,0.089843963,0.0964046533,-0.1213810833,0.2608423654
20,4,0.3,0.3,7,10,0.35,0.1643284893,0.314935409,0.5207361017,0.0648420892,0.0915299532,0.0988971131,-0.1091347163,0.2668320031
20,4,0.3,0.3,7,10,0.4,0.1668991324,0.30958289,0.5235179776,0.0652905365,0.0931023832,0.1006440863,-0.0956478023,0.2717909317
20,4,0.3,0.3,7,10,0.45,0.1699109508,0.3021981647,0.5278908844,0.0660110902,0.0948449089,0.1028811619,-0.0765054451,0.2775103833
20,4,0.3,0.3,7,10,0.5,0.1736305924,0.2989204128,0.5274489949,0.066779032,0.0969531579,0.1048813908,-0.0703918306,0.2836916092
20,4,0.3,0.3,7,10,0.55,0.1748884208,0.2919137359,0.5331978434,0.0677705664,0.09801641,0.1068084789,-0.0506296283,0.2875443513
20,4,0.3,0.3,7,10,0.6,0.1832311922,0.279221766,0.5375470418,0.0692108319,0.0994929323,0.1090584841,-0.0208964902,0.2923936418
20,4,0.3,0.3,7,10,0.65,0.1828340058,0.2702220159,0.5469439783,0.0696359764,0.1022491033,0.1128751081,0.0064999464,0.3020816221
20,4,0.3,0.3,7,10,0.7,0.1898315421,0.2626301996,0.5475382583,0.0708819235,0.1056957844,0.1162294453,0.0222778591,0.3122642323
20,4,0.3,0.3,7,10,0.75,0.199849609,0.2497439926,0.5504063984,0.0727840245,0.105626647,0.1176709621,0.0509184133,0.3128678138
20,4,0.3,0.3,7,10,0.8,0.2188144392,0.2355116935,0.5456738672,0.0758941168,0.1038276001,0.118117395,0.0746504802,0.3082472162
20,4,0.3,0.3,7,10,0.85,0.2289936087,0.2166451244,0.5543612668,0.0789907809,0.1080062694,0.1236325727,0.121071018,0.3215090629
20,4,0.3,0.3,7,10,0.9,0.2547477416,0.1916128111,0.5536394473,0.0880877327,0.1104272092,0.1328802614,0.1704138251,0.332592251
20,4,0.3,0.3,7,10,0.95,0.3114355697,0.1527695219,0.5357949084,0.0943388632,0.1047681822,0.1317213325,0.2302558646,0.3164018301
20,5,0.3,0.3,7,8,0.0,0.1817104295,0.3815716071,0.4367179634,0.0650730388,0.081470973,0.0834564448,-0.3264252508,0.2285848867
20,5,0.3,0.3,7,8,0.05,0.1800562716,0.3815446138,0.4383991145,0.0652640613,0.084332583,0.086312244,-0.3246901132,0.2377025922
20,5,0.3,0.3,7,8,0.1,0.1784558146,0.3789152712,0.4426289142,0.0653904271,0.0860704601,0.0879988735,-0.3152016282,0.2431631837
20,5,0.3,0.3,7,8,0.15,0.1770968686,0.3790366694,0.443866462,0.0655792049,0.0888203387,0.0906187772,-0.3142068769,0.2517306883
20,5,0.3,0.3,7,8,0.2,0.1759521548,0.3777432785,0.4463045667,0.065777527,0.0919662763,0.0942780863,-0.3091819902,0.2622183868
20,5,0.3,0.3,7,8,0.25,0.1749905381,0.3763564823,0.4486529796,0.0660580908,0.0937736801,0.0965225537,-0.304059985,0.2682973834
20,5,0.3,0.3,7,8,0.3,0.1754195737,0.3731281465,0.4514522798,0.0663867057,0.0950033578,0.0980024987,-0.2948040133,0.2723103152
20,5,0.3,0.3,7,8,0.35,0.1741277538,0.3727555254,0.4531167208,0.066642989,0.0984351856,0.10117894,-0.29239433,0.2827823763
20,5,0.3,0.3,7,8,0.4,0.1749149855,0.370218731,0.4548662834,0.067210652,0.1020580933,0.1047882479,-0.2855711786,0.2939427047
20,5,0.3,0.3,7,8,0.45,0.1761132574,0.3636739387,0.4602128039,0.0675981202,0.1038402022,0.1071312457,-0.2671350734,0.2999817082
20,5,0.3,0.3,7,8,0.5,0.175604099,0.3616594423,0.4627364587,0.0677344857,0.1070940247,0.1105808866,-0.2605824258,0.3103598831
20,5,0.3,0.3,7,8,0.55,0.1758221873,0.3613539472,0.4628238655,0.0682810162,0.1110977648,0.1151289974,-0.259884029,0.3232580143
20,5,0.3,0.3,7,8,0.6,0.1782215875,0.3559310172,0.4658473953,0.0689217149,0.114668524,0.1185572115,-0.2460146392,0.3340063682
20,5,0.3,0.3,7,8,0.65,0.1796048131,0.3519258757,0.4684693112,0.0697739568,0.1199645052,0.1244969486,-0.2353824401,0.3508711381
20,5,0.3,0.3,7,8,0.7,0.1854372121,0.3419105224,0.4726522655,0.0709350807,0.1222060768,0.1272659035,-0.2111687792,0.3579555984
20,5,0.3,0.3,7,8,0.75,0.1843809048,0.3365250116,0.4790940836,0.0715402363,0.1288854989,0.1343261872,-0.1939559396,0.3788976034
20,5,0.3,0.3,7,8,0.8,0.1934534938,0.3280728389,0.4784736673,0.0734974554,0.1324463254,0.1375729869,-0.1776720106,0.3888796766
20,5,0.3,0.3,7,8,0.85,0.2040469883,0.3097739851,0.4861790267,0.0778745436,0.1413048322,0.1491963187,-0.1333689435,0.4176745972
20,5,0.3,0.3,7,8,0.9,0.2155823901,0.2918423251,0.4925752848,0.0778636988,0.1536458732,0.1609445409,-0.0911093655,0.4552211009
20,5,0.3,0.3,7,8,0.95,0.2354322848,0.2577507052,0.50681701,0.0836464398,0.1617764449,0.1718712949,-0.0086844003,0.4813060161
