pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.1,0.3,0.2390352412,0.2287549541,0.5322098047,0.0769265605,0.1006258285,0.116747916,0.0746998965,0.2996801302,0.3131979505,0.1531110179,0.3242014172,0.1919838967,0.4995199341,0.330633056,0.2596073105,0.23488088
0.1,0.35,0.221785625,0.2162916414,0.5619227336,0.0744864952,0.1030031027,0.1187577658,0.1293394509,0.3080123047,0.3538013711,0.1604576669,0.3740665982,0.2028773072,0.5571098908,0.3552957679,0.2598921463,0.2430587189
0.1,0.4,0.2050212447,0.1981915235,0.5967872318,0.0723182722,0.104192445,0.1215535579,0.2004041847,0.3146463585,0.4034336059,0.167499062,0.4359813643,0.2129557414,0.6155682704,0.3902637096,0.2581327972,0.2543389213
0.1,0.45,0.1917431356,0.1862880708,0.6219687935,0.0706565268,0.1059565598,0.1235736794,0.2493926518,0.3212280009,0.4402049488,0.171403367,0.4820152604,0.2185603436,0.6629418477,0.4199726089,0.2555300038,0.2643295034
0.1,0.5,0.1797389938,0.1650473096,0.6552136966,0.068267402,0.1032253002,0.1206325022,0.3251190774,0.3134780709,0.4879589031,0.1696226894,0.542406731,0.2166083365,0.7063348155,0.4647217787,0.2489497625,0.2731526767
0.1,0.55,0.1674959831,0.1440057843,0.6884982326,0.066475848,0.099999626,0.1180612856,0.400486664,0.304921098,0.5355457564,0.1701835709,0.6029647184,0.216604137,0.7509600095,0.5185240935,0.2440225882,0.2784440342
0.1,0.6,0.157914807,0.1281054736,0.7139797194,0.0647711672,0.0994111025,0.1176523195,0.4577687721,0.3040246707,0.5734782376,0.1697974656,0.6506260797,0.2166529149,0.7862371002,0.5691840815,0.2381081463,0.2810183787
0.1,0.65,0.1481629593,0.11084586,0.7409911808,0.062491205,0.0942921148,0.1122921556,0.5192994608,0.2887287667,0.6130699468,0.1637578664,0.7009124842,0.2082240807,0.8220500648,0.6172722126,0.2304657475,0.2809845094
0.1,0.7,0.139406934,0.0940650552,0.7665280109,0.0608483738,0.0894974625,0.1084070639,0.5783979005,0.2755176946,0.6512246938,0.1578711889,0.7492328966,0.2000870944,0.8543680616,0.6704628945,0.2246006559,0.275029095
0.1,0.75,0.1323162067,0.0796704395,0.7880133538,0.0588851714,0.0839053081,0.1026666207,0.6286724747,0.2587024981,0.6829251616,0.1507309084,0.7890678929,0.1917545276,0.8805134333,0.7177113375,0.2176362216,0.2635579902
0.1,0.8,0.125596458,0.062318349,0.812085193,0.0577769862,0.0817143951,0.101025168,0.687448495,0.2529927817,0.7197206056,0.1452468494,0.8352571947,0.1851957269,0.9053597657,0.7849402445,0.2135617975,0.2454513931
0.1,0.85,0.1189681151,0.0425468633,0.8384850216,0.0556423502,0.0634154616,0.0844248605,0.753391295,0.1982918394,0.7578030492,0.1262763452,0.8838658717,0.1593312972,0.9298591203,0.8438164439,0.2057319542,0.2156789328
0.1,0.9,0.1129803263,0.0286514086,0.8583682651,0.0546457797,0.0523767904,0.0759825005,0.8010654479,0.1667563124,0.7875593602,0.1139328489,0.9213972231,0.1434467838,0.9519942911,0.8930585721,0.202097018,0.1856024496
0.1,0.95,0.1080722676,0.013990788,0.8779369443,0.0531123629,0.0361702918,0.0644142471,0.8499553683,0.121059818,0.81690863,0.0965982374,0.9583437807,0.1216110745,0.9701551129,0.9473461227,0.1963864546,0.1303176998
0.15,0.05,0.2685960653,0.2945292248,0.4368747099,0.0760058407,0.08079978,0.0884543615,-0.1521837398,0.2260317971,0.1849559039,0.102806668,0.1499428872,0.1128705458,0.3401347614,0.2192970465,0.25396734,0.1629538645
0.15,0.1,0.2541471775,0.2896340201,0.4562188024,0.0755767199,0.0843689375,0.0935049977,-0.1230492377,0.2398219721,0.2090023923,0.1130536561,0.166371239,0.1250974065,0.3575333188,0.2303811122,0.261107587,0.169474558
0.15,0.15,0.2421009033,0.286535866,0.4713632306,0.0742470971,0.0873150552,0.0966699427,-0.1017085014,0.2505064545,0.2284209305,0.1203715778,0.1818611824,0.1355609874,0.376403795,0.2397424963,0.2697967882,0.1750628595
0.15,0.2,0.2277552041,0.2781590317,0.4940857643,0.0736210583,0.0909802503,0.1014964508,-0.0622322991,0.2640623104,0.259060949,0.1296580072,0.2107777101,0.152370905,0.4131733401,0.2534015476,0.2856508684,0.1842619149
0.15,0.25,0.2166497661,0.2703906166,0.5129596172,0.0721911778,0.0937678407,0.1050946619,-0.027821616,0.2747107193,0.2847527404,0.1369536582,0.2381897572,0.1660735298,0.4460943734,0.2678872969,0.2949872183,0.1900169626
0.15,0.3,0.205003035,0.2581044025,0.5368925626,0.0712915751,0.0967766685,0.1091800428,0.0206837576,0.2859898762,0.317838219,0.1456139069,0.2762877654,0.182532423,0.4865427608,0.2883517046,0.3088472363,0.2003304144
