pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.2,0.7,0.1292785804,0.1476774806,0.723043939,0.0343657122,0.0593246214,0.0676125155,0.4276889778,0.1801910559,0.5845704824,0.1013982985,0.6027825085,0.1516608004,0.7709171993,0.537088385,0.2672539229,0.1829117632
0.2,0.75,0.1240717321,0.1248023994,0.7511258685,0.0337146138,0.0571701328,0.065755423,0.5015210697,0.1740934265,0.6266898525,0.0986281105,0.6658089457,0.1475412202,0.8113834041,0.6084522869,0.2633082854,0.177332409
0.2,0.8,0.1188016996,0.0999115721,0.7812867283,0.0330563993,0.052283241,0.0616882165,0.5814635841,0.1601002213,0.6719311422,0.0925265291,0.733508327,0.1384439764,0.8525600029,0.6862307994,0.258783103,0.1633194573
0.2,0.85,0.1141186203,0.0740533867,0.811827993,0.0322517005,0.0459367979,0.055979672,0.6637212197,0.1413575717,0.7177419895,0.083969508,0.8020631679,0.1256665679,0.8891798836,0.7673238548,0.2530132887,0.1440372081
0.2,0.9,0.1094483379,0.0490731317,0.8414785304,0.0316144702,0.0385270764,0.0498572358,0.7433322669,0.1198511416,0.7622177956,0.0747858538,0.8686252722,0.111924407,0.9258327561,0.8457747563,0.2481395086,0.1210529703
0.2,0.95,0.105096076,0.0241366158,0.8707673082,0.0309286901,0.0276758766,0.041554872,0.8224940765,0.0886734418,0.8061509623,0.062332308,0.9343755898,0.0932864474,0.9599946085,0.9241421216,0.242872023,0.0869807193
0.25,0.05,0.1854009998,0.3295043239,0.4850946763,0.0390950164,0.0484477187,0.0517153523,-0.1739139715,0.1380205821,0.2303497376,0.0732278461,0.0989575808,0.0744238629,0.3475237243,0.1166405399,0.2628434177,0.0874732491
0.25,0.1,0.1805810047,0.3255487628,0.4938702324,0.038733755,0.0500295942,0.0534702327,-0.1572272932,0.1435073224,0.2432099225,0.076213372,0.1062852152,0.0797589448,0.3537996291,0.1219340665,0.2646984204,0.090576608
0.25,0.15,0.1755291677,0.3195221195,0.5049487128,0.0384436039,0.051294715,0.0550508943,-0.1340955261,0.1480637304,0.2593775306,0.079119186,0.1178984524,0.0870475051,0.3671088807,0.1280778805,0.270307162,0.0948321319
0.25,0.2,0.1706309423,0.3135383654,0.5158306923,0.0381195558,0.0530995899,0.0572060827,-0.1112460385,0.1543658165,0.2753648838,0.0828133892,0.1328559714,0.096527224,0.3842955051,0.1369264184,0.2791768268,0.1007661688
0.25,0.25,0.165888028,0.3071510122,0.5269609598,0.0377408051,0.0550276224,0.0594175337,-0.0873410647,0.1609684087,0.2918467383,0.0864118493,0.1505339733,0.1065183493,0.405662216,0.1477495626,0.2886097211,0.1076663608
0.25,0.3,0.1612635341,0.2980805299,0.540655936,0.03743488,0.0562381412,0.0608470381,-0.0555051237,0.1651687527,0.3120097226,0.0891256573,0.1739293716,0.1161839048,0.4307836462,0.1619789553,0.2997785048,0.115811123
