pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2
0.35,0.9,0.1314902899,0.1864127718,0.6820969383,0.0107843367,0.030806231,0.0323199345,0.3092713947,0.0927107,0.5231454074,0.0484799018,0.5482363894,0.0756907132
0.35,0.95,0.1286271432,0.1102628718,0.761109985,0.0106571197,0.0267713596,0.0287681727,0.5405842414,0.0809685682,0.6416649775,0.0431522591,0.7332786534,0.0673727698
0.4,0.05,0.142412097,0.3987894026,0.4587985004,0.0110721863,0.0157451702,0.0159908696,-0.3387803049,0.0448263251,0.1885532367,0.0233073433,0.0039622163,0.038268748
0.4,0.1,0.1419555861,0.3973405774,0.4607038365,0.0110833374,0.0163197344,0.0166614698,-0.3339773182,0.0467454317,0.1913894026,0.0243427181,0.0085219952,0.0398736033
0.4,0.15,0.1414277431,0.395476156,0.463096101,0.0110596049,0.0167103519,0.0170536405,-0.3278562109,0.0479923473,0.1949391277,0.02498214,0.0142470725,0.0408121315
0.4,0.2,0.1409450137,0.3935540865,0.4655008998,0.0110136132,0.0172742753,0.0176126605,-0.3216072732,0.0497837483,0.1985248063,0.0258544535,0.0200021466,0.0421499571
0.4,0.25,0.1404211447,0.3913147588,0.4682640965,0.0110314786,0.0177531095,0.0181767172,-0.3143654211,0.0513695385,0.2026005624,0.0268221863,0.0266149251,0.0434998364
0.4,0.3,0.1399378405,0.3883308548,0.4717313047,0.0110218925,0.0180168232,0.0184577768,-0.3049304049,0.0522181947,0.2077427581,0.0273534207,0.0349125174,0.0441724576
0.4,0.35,0.1394497626,0.385582042,0.4749681955,0.0110152623,0.0187040723,0.0191826825,-0.2961958885,0.054408711,0.2125516433,0.0285384799,0.0426589227,0.0459072746
0.4,0.4,0.1388468383,0.3820362409,0.4791169208,0.0110014046,0.0189277547,0.0193904559,-0.2849555611,0.0550950715,0.2187354036,0.0289331872,0.0525874962,0.0464045101
0.4,0.45,0.138296126,0.3771282054,0.4845756686,0.0109905102,0.0200636533,0.0206418177,-0.2696807423,0.0587534884,0.2269188015,0.0308166495,0.0656511663,0.0493992223
0.4,0.5,0.1377595851,0.3716842664,0.4905561485,0.0108956577,0.0208276793,0.0214148882,-0.2528123844,0.0611646544,0.2358583667,0.0320552394,0.0799634259,0.0512493053
0.4,0.55,0.137112147,0.3650916021,0.4977962509,0.0109094267,0.022052131,0.0226596886,-0.2323869533,0.0649625444,0.2467247063,0.033899989,0.097290167,0.0542283149
0.4,0.6,0.1364717821,0.3577273307,0.5058008873,0.0109113806,0.0227713534,0.0234887654,-0.2096537741,0.0672923255,0.2587050425,0.0352215922,0.1164465618,0.0562124305
